CAMERA,AUDIO_TIMECODE,RAW_VIDEO,RAW_VIDEO_TIMECODE,SEGMENT,DURATION,SEGMENT_TIMECODE,AUDIO_START
cam4,2019-10-24 16:26:08.657000,GH020010.MP4,2019-10-24 16:49:36.967634,vid2_seg7,0:02:00.022000,2019-10-24 17:01:36.967634,0:35:28.310634
cam4,2019-10-24 16:26:08.657000,GH020010.MP4,2019-10-24 16:49:36.967634,vid2_seg8,0:02:00.022000,2019-10-24 17:03:36.967634,0:37:28.310634
cam4,2019-10-24 16:26:08.657000,GH020010.MP4,2019-10-24 16:49:36.967634,vid2_seg9,0:01:38.070000,2019-10-24 17:05:36.967634,0:39:28.310634
cam4,2019-10-24 16:26:08.657000,GH030010.MP4,2019-10-24 17:07:13.967634,vid3_seg1,0:02:00.022000,2019-10-24 17:07:13.967634,0:41:05.310634
cam4,2019-10-24 16:26:08.657000,GH030010.MP4,2019-10-24 17:07:13.967634,vid3_seg2,0:02:00.022000,2019-10-24 17:09:13.967634,0:43:05.310634
cam4,2019-10-24 16:26:08.657000,GH030010.MP4,2019-10-24 17:07:13.967634,vid3_seg3,0:02:00.022000,2019-10-24 17:11:13.967634,0:45:05.310634
cam4,2019-10-24 16:26:08.657000,GH030010.MP4,2019-10-24 17:07:13.967634,vid3_seg4,0:02:00.022000,2019-10-24 17:13:13.967634,0:47:05.310634
cam4,2019-10-24 16:26:08.657000,GH030010.MP4,2019-10-24 17:07:13.967634,vid3_seg5,0:02:00.022000,2019-10-24 17:15:13.967634,0:49:05.310634
cam4,2019-10-24 16:26:08.657000,GH030010.MP4,2019-10-24 17:07:13.967634,vid3_seg6,0:02:00.022000,2019-10-24 17:17:13.967634,0:51:05.310634
cam4,2019-10-24 16:26:08.657000,GH030010.MP4,2019-10-24 17:07:13.967634,vid3_seg7,0:02:00.022000,2019-10-24 17:19:13.967634,0:53:05.310634
cam4,2019-10-24 16:26:08.657000,GH030010.MP4,2019-10-24 17:07:13.967634,vid3_seg8,0:02:00.022000,2019-10-24 17:21:13.967634,0:55:05.310634
cam4,2019-10-24 16:26:08.657000,GH030010.MP4,2019-10-24 17:07:13.967634,vid3_seg9,0:01:38.091000,2019-10-24 17:23:13.967634,0:57:05.310634
cam4,2019-10-24 16:26:08.657000,GH040010.MP4,2019-10-24 17:24:50.967634,vid4_seg1,0:02:00.022000,2019-10-24 17:24:50.967634,0:58:42.310634
cam4,2019-10-24 16:26:08.657000,GH040010.MP4,2019-10-24 17:24:50.967634,vid4_seg2,0:02:00.022000,2019-10-24 17:26:50.967634,1:00:42.310634
cam4,2019-10-24 16:26:08.657000,GH040010.MP4,2019-10-24 17:24:50.967634,vid4_seg3,0:02:00.022000,2019-10-24 17:28:50.967634,1:02:42.310634
cam4,2019-10-24 16:26:08.657000,GH040010.MP4,2019-10-24 17:24:50.967634,vid4_seg4,0:02:00.022000,2019-10-24 17:30:50.967634,1:04:42.310634
cam4,2019-10-24 16:26:08.657000,GH040010.MP4,2019-10-24 17:24:50.967634,vid4_seg5,0:02:00.022000,2019-10-24 17:32:50.967634,1:06:42.310634
cam4,2019-10-24 16:26:08.657000,GH040010.MP4,2019-10-24 17:24:50.967634,vid4_seg6,0:02:00.022000,2019-10-24 17:34:50.967634,1:08:42.310634
cam4,2019-10-24 16:26:08.657000,GH040010.MP4,2019-10-24 17:24:50.967634,vid4_seg7,0:02:00.022000,2019-10-24 17:36:50.967634,1:10:42.310634
cam4,2019-10-24 16:26:08.657000,GH040010.MP4,2019-10-24 17:24:50.967634,vid4_seg8,0:02:00.022000,2019-10-24 17:38:50.967634,1:12:42.310634
cam4,2019-10-24 16:26:08.657000,GH040010.MP4,2019-10-24 17:24:50.967634,vid4_seg9,0:01:38.070000,2019-10-24 17:40:50.967634,1:14:42.310634
cam4,2019-10-24 16:26:08.657000,GH050010.MP4,2019-10-24 17:42:27.967634,vid5_seg1,0:02:00.004000,2019-10-24 17:42:27.967634,1:16:19.310634
cam4,2019-10-24 16:26:08.657000,GH050010.MP4,2019-10-24 17:42:27.967634,vid5_seg2,0:02:00.022000,2019-10-24 17:44:27.967634,1:18:19.310634
cam4,2019-10-24 16:26:08.657000,GH050010.MP4,2019-10-24 17:42:27.967634,vid5_seg3,0:00:23.040000,2019-10-24 17:46:27.967634,1:20:19.310634
cam2,2019-10-24 16:26:08.657000,GH020003.MP4,2019-10-24 16:49:34.834168,vid2_seg7,0:02:00.022000,2019-10-24 17:01:34.834168,0:35:26.177168
cam2,2019-10-24 16:26:08.657000,GH020003.MP4,2019-10-24 16:49:34.834168,vid2_seg8,0:02:00.022000,2019-10-24 17:03:34.834168,0:37:26.177168
cam2,2019-10-24 16:26:08.657000,GH020003.MP4,2019-10-24 16:49:34.834168,vid2_seg9,0:01:38.070000,2019-10-24 17:05:34.834168,0:39:26.177168
cam2,2019-10-24 16:26:08.657000,GH030003.MP4,2019-10-24 17:07:11.834168,vid3_seg1,0:02:00.022000,2019-10-24 17:07:11.834168,0:41:03.177168
cam2,2019-10-24 16:26:08.657000,GH030003.MP4,2019-10-24 17:07:11.834168,vid3_seg2,0:02:00.022000,2019-10-24 17:09:11.834168,0:43:03.177168
cam2,2019-10-24 16:26:08.657000,GH030003.MP4,2019-10-24 17:07:11.834168,vid3_seg3,0:02:00.022000,2019-10-24 17:11:11.834168,0:45:03.177168
cam2,2019-10-24 16:26:08.657000,GH030003.MP4,2019-10-24 17:07:11.834168,vid3_seg4,0:02:00.022000,2019-10-24 17:13:11.834168,0:47:03.177168
cam2,2019-10-24 16:26:08.657000,GH030003.MP4,2019-10-24 17:07:11.834168,vid3_seg5,0:02:00.022000,2019-10-24 17:15:11.834168,0:49:03.177168
cam2,2019-10-24 16:26:08.657000,GH030003.MP4,2019-10-24 17:07:11.834168,vid3_seg6,0:02:00.022000,2019-10-24 17:17:11.834168,0:51:03.177168
cam2,2019-10-24 16:26:08.657000,GH030003.MP4,2019-10-24 17:07:11.834168,vid3_seg7,0:02:00.022000,2019-10-24 17:19:11.834168,0:53:03.177168
cam2,2019-10-24 16:26:08.657000,GH030003.MP4,2019-10-24 17:07:11.834168,vid3_seg8,0:02:00.022000,2019-10-24 17:21:11.834168,0:55:03.177168
cam2,2019-10-24 16:26:08.657000,GH030003.MP4,2019-10-24 17:07:11.834168,vid3_seg9,0:01:38.091000,2019-10-24 17:23:11.834168,0:57:03.177168
cam2,2019-10-24 16:26:08.657000,GH040003.MP4,2019-10-24 17:24:48.834168,vid4_seg1,0:02:00.022000,2019-10-24 17:24:48.834168,0:58:40.177168
cam2,2019-10-24 16:26:08.657000,GH040003.MP4,2019-10-24 17:24:48.834168,vid4_seg2,0:02:00.022000,2019-10-24 17:26:48.834168,1:00:40.177168
cam2,2019-10-24 16:26:08.657000,GH040003.MP4,2019-10-24 17:24:48.834168,vid4_seg3,0:02:00.022000,2019-10-24 17:28:48.834168,1:02:40.177168
cam2,2019-10-24 16:26:08.657000,GH040003.MP4,2019-10-24 17:24:48.834168,vid4_seg4,0:02:00.022000,2019-10-24 17:30:48.834168,1:04:40.177168
cam2,2019-10-24 16:26:08.657000,GH040003.MP4,2019-10-24 17:24:48.834168,vid4_seg5,0:02:00.022000,2019-10-24 17:32:48.834168,1:06:40.177168
cam2,2019-10-24 16:26:08.657000,GH040003.MP4,2019-10-24 17:24:48.834168,vid4_seg6,0:02:00.022000,2019-10-24 17:34:48.834168,1:08:40.177168
